,start,prod1,prod2,halt
0,1,1,1,0
1,1,1,2,0
2,1,1,3,0
3,1,1,4,0
4,1,1,5,0
5,1,1,6,0
6,1,1,7,0
7,1,1,8,0
8,1,1,9,0
9,1,1,10,0
10,1,1,11,0
11,1,1,12,0
12,1,1,13,0
13,1,1,14,0
14,1,1,15,0
15,1,2,1,0
16,1,2,2,0
17,1,2,3,0
18,1,2,4,0
19,1,2,5,0
20,1,2,6,0
21,1,2,7,0
22,1,2,8,0
23,1,2,9,0
24,1,2,10,0
25,1,2,11,0
26,1,2,12,0
27,1,2,13,0
28,1,2,14,0
29,1,2,15,0
30,1,3,1,0
31,1,3,2,0
32,1,3,3,0
33,1,3,4,0
34,1,3,5,0
35,1,3,6,0
36,1,3,7,0
37,1,3,8,0
38,1,3,9,0
39,1,3,10,0
40,1,3,11,0
41,1,3,12,0
42,1,3,13,0
43,1,3,14,0
44,1,3,15,0
45,1,4,1,0
46,1,4,2,0
47,1,4,3,0
48,1,4,4,0
49,1,4,5,0
50,1,4,6,0
51,1,4,7,0
52,1,4,8,0
53,1,4,9,0
54,1,4,10,0
55,1,4,11,0
56,1,4,12,0
57,1,4,13,0
58,1,4,14,0
59,1,4,15,0
60,1,5,1,0
61,1,5,2,0
62,1,5,3,0
63,1,5,4,0
64,1,5,5,0
65,1,5,6,0
66,1,5,7,0
67,1,5,8,0
68,1,5,9,0
69,1,5,10,0
70,1,5,11,0
71,1,5,12,0
72,1,5,13,0
73,1,5,14,0
74,1,5,15,0
75,1,6,1,0
76,1,6,2,0
77,1,6,3,0
78,1,6,4,0
79,1,6,5,0
80,1,6,6,0
81,1,6,7,0
82,1,6,8,0
83,1,6,9,0
84,1,6,10,0
85,1,6,11,0
86,1,6,12,0
87,1,6,13,0
88,1,6,14,0
89,1,6,15,0
90,1,7,1,0
91,1,7,2,0
92,1,7,3,0
93,1,7,4,0
94,1,7,5,0
95,1,7,6,0
96,1,7,7,0
97,1,7,8,0
98,1,7,9,0
99,1,7,10,0
100,1,7,11,0
101,1,7,12,0
102,1,7,13,0
103,1,7,14,0
104,1,7,15,0
105,1,8,1,0
106,1,8,2,0
107,1,8,3,0
108,1,8,4,0
109,1,8,5,0
110,1,8,6,0
111,1,8,7,0
112,1,8,8,0
113,1,8,9,0
114,1,8,10,0
115,1,8,11,0
116,1,8,12,0
117,1,8,13,0
118,1,8,14,0
119,1,8,15,0
120,1,9,1,0
121,1,9,2,0
122,1,9,3,0
123,1,9,4,0
124,1,9,5,0
125,1,9,6,0
126,1,9,7,0
127,1,9,8,0
128,1,9,9,0
129,1,9,10,0
130,1,9,11,0
131,1,9,12,0
132,1,9,13,0
133,1,9,14,0
134,1,9,15,0
135,1,10,1,0
136,1,10,2,0
137,1,10,3,0
138,1,10,4,0
139,1,10,5,0
140,1,10,6,0
141,1,10,7,0
142,1,10,8,0
143,1,10,9,0
144,1,10,10,0
145,1,10,11,0
146,1,10,12,0
147,1,10,13,0
148,1,10,14,0
149,1,10,15,0
150,1,11,1,0
151,1,11,2,0
152,1,11,3,0
153,1,11,4,0
154,1,11,5,0
155,1,11,6,0
156,1,11,7,0
157,1,11,8,0
158,1,11,9,0
159,1,11,10,0
160,1,11,11,0
161,1,11,12,0
162,1,11,13,0
163,1,11,14,0
164,1,11,15,0
165,1,12,1,0
166,1,12,2,0
167,1,12,3,0
168,1,12,4,0
169,1,12,5,0
170,1,12,6,0
171,1,12,7,0
172,1,12,8,0
173,1,12,9,0
174,1,12,10,0
175,1,12,11,0
176,1,12,12,0
177,1,12,13,0
178,1,12,14,0
179,1,12,15,0
180,1,13,1,0
181,1,13,2,0
182,1,13,3,0
183,1,13,4,0
184,1,13,5,0
185,1,13,6,0
186,1,13,7,0
187,1,13,8,0
188,1,13,9,0
